Sector,Metric,Ranked Avg metric,Unranked Avg metric,Ranked Median metric,Unranked Median metric,Ranked Count,Unranked Count,T-Statistic,MWU P-Value,T-Test Significant,MWU Significant,T-Test P-Value,FDR_qvalue_BH,FDR_significant_0p05,MWU_FDR_qvalue_BH,MWU_FDR_significant_0p05
Financials,GrossProfit,12586239089.0,23636133648.0,9866987155.0,15409225000.0,59,287,-4.450554327,0.000633266,True,True,1.49e-05,6.14625e-05,True,0.0022017975517241383,True
Energy,GrossProfit,3008913240.0,25443623984.0,3322024231.0,10175000000.0,4,155,-5.631607617,0.008997021,True,True,8.04e-08,1.1370857142857143e-06,True,0.02024329725,True
Real Estate,GrossProfit,2435256285.0,2686598646.0,1205576461.0,1443858273.0,12,140,-0.334258624,0.79513975,False,False,0.740977746,0.8259418029438201,False,0.8464390887096774,False
Consumer Discretionary,DilutedEPS,4.173104167,6.610039823,1.072,2.8935,48,226,-1.512806485,0.020151431,False,True,0.132642861,0.21886072065,False,0.038365224403846154,True
Industrials,DilutedEPS,2.160125,5.902989071,1.1955,3.65,40,183,-4.983579318,1.88e-05,True,True,1.68e-06,1.2793846153846152e-05,True,0.00020679999999999999,True
Communication Services,DilutedEPS,1.705178571,3.352034286,0.3895,2.06,28,175,-2.771277648,0.047883374,True,True,0.006888718,0.01623769242857143,True,0.08034667840677967,False
Utilities,DilutedEPS,1.397391304,2.333178161,0.705,2.069,23,174,-1.2831065,0.014374062,False,True,0.211252727,0.3168790905,False,0.028460642759999998,True
Health Care,DilutedEPS,2.862548387,6.107934426,3.462,4.449,31,244,-3.906798294,0.039910229,True,True,0.000161719,0.0005717921785714286,True,0.06812263225862068,False
Consumer Staples,DilutedEPS,1.999535714,3.757360976,2.245,2.77,28,205,-4.761325326,0.015409564,True,True,7.91e-06,3.6675000000000004e-05,True,0.029912683058823532,True
Information Technology,DilutedEPS,-21.91275,0.930112676,1.696,2.94,76,213,-1.576476904,0.01217833,False,True,0.118721196,0.19921014244067797,False,0.02460519734693877,True
Materials,DilutedEPS,1.468833333,6.524263473,1.708,4.47,24,167,-5.620001614,3.53e-05,True,True,3.48e-07,3.4452e-06,True,0.00026882307692307686,True
Financials,DilutedEPS,3.598033898,5.994804878,1.515,3.064,59,287,-3.183725774,0.059433976,True,False,0.001711195,0.00470578625,True,0.09645842006557377,False
