,Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Original Currency,ReportDate_2024,Average Rank,Sum of Rank,Years Appeared,Adjusted Score,2016_Ranking,2017_Ranking,2018_Ranking,2019_Ranking,2020_Ranking,2021_Ranking,2022_Ranking,2023_Ranking,2024_Ranking,2025_Ranking,TotalRevenue_2021,TotalRevenue_2022,TotalRevenue_2023,TotalRevenue_2024,TotalRevenueIncr_2022,TotalRevenueIncr_2023,TotalRevenueIncr_2024,NetIncome_2021,NetIncome_2022,NetIncome_2023,NetIncome_2024,NetIncomeIncr_2022,NetIncomeIncr_2023,NetIncomeIncr_2024,OperatingIncome_2021,OperatingIncome_2022,OperatingIncome_2023,OperatingIncome_2024,OperatingIncomeIncr_2022,OperatingIncomeIncr_2023,OperatingIncomeIncr_2024,GrossProfit_2021,GrossProfit_2022,GrossProfit_2023,GrossProfit_2024,GrossProfitIncr_2022,GrossProfitIncr_2023,GrossProfitIncr_2024,DilutedEPS_2021,DilutedEPS_2022,DilutedEPS_2023,DilutedEPS_2024,DilutedEPSIncr_2022,DilutedEPSIncr_2023,DilutedEPSIncr_2024,2015_Stock_Performance,2016_Stock_Performance,2017_Stock_Performance,2018_Stock_Performance,2019_Stock_Performance,2020_Stock_Performance,2021_Stock_Performance,2022_Stock_Performance,2023_Stock_Performance,2024_Stock_Performance,2025_Stock_Performance
20,ANSS,ANSYS; Inc.,USA,Health Care,6600,USD,12/31/2024,87,87,1,0.011494253,,,,87,,,,,,,1906715000,2065553000,2269949000,2544809000,8.330453162,9.895461409,12.10864209,454627000,523710000,500412000,575692000,15.19553392,-4.448645243,15.04360407,513271000,592658000,626135000,717888000,15.46687812,5.648620284,14.65386857,1648731000,1814912000,1998651000,2264990000,10.07932768,10.12385173,13.32593835,5.16,5.99,5.73,6.55,16.08527132,-4.340567613,14.31064572,14.16738385,1.192556148,58.4944072,-3.482948779,83.17995814,40.97505683,11.9580477,-39.44354206,47.95123683,-5.819391047,-1.287678693
21,AAPL,Apple Inc,USA,Information Technology,164000,USD,9/30/2024,71.5,429,6,0.083916084,84,84,,,,,48,73,71,69,3.65817E+11,3.94328E+11,3.83285E+11,3.91035E+11,7.793787604,-2.80046053,2.021994078,94680000000,99803000000,96995000000,93736000000,5.410857626,-2.813542679,-3.359967009,1.08949E+11,1.19437E+11,1.14301E+11,1.23216E+11,9.626522501,-4.300174988,7.799581806,1.52836E+11,1.70782E+11,1.69148E+11,1.80683E+11,11.74199796,-0.956775304,6.819471705,5.61,6.11,6.13,6.08,8.912655971,0.327332242,-0.815660685,-2.012249103,15.38530768,48.48996635,-6.807997119,91.03886979,82.11561515,34.2859133,-26.51179138,48.60773348,35.41841667,-18.85828519
22,AMAT,Applied Materials Inc,USA,Information Technology,,USD,10/31/2024,64.33333333,193,3,0.046632124,56,94,43,,,,,,,,23063000000,25785000000,26517000000,27176000000,11.80245415,2.838859802,2.485198175,5888000000,6525000000,6856000000,7177000000,10.81861413,5.072796935,4.682030338,7200000000,7784000000,7654000000,7867000000,8.111111111,-1.670092497,2.782858636,10914000000,11993000000,12384000000,12897000000,9.88638446,3.260235137,4.14244186,6.4,7.44,8.11,8.61,16.25,9.005376344,6.165228113,-22.54597024,79.15696411,59.41663417,-36.3349905,93.65340666,42.18287232,82.37390899,-37.6930709,63.94929797,3.073641745,5.092838041
23,ARCLK.IS,Arcelik AS,Turkey,Consumer Discretionary,53401,TRY,12/31/2024,61.6,308,5,0.081168831,,,,,,34,57,89,60,68,1716605661,6474541433,9345382306,10789094077,277.171157,44.34045102,15.44839712,77155975.29,158243169.9,491068377,42524186.6,105.0951586,210.3251643,-91.34047546,127203229.1,210545455.7,414858059.4,136620028.7,65.51895513,97.03966444,-67.06824766,515561094.2,1728843195,2739890788,2973326941,235.3323621,58.4811622,8.519907218,0.116010621,0.257902084,0.809204293,0.070064574,122.3090281,213.7641544,-91.34154692,-1.671313713,54.88814864,4.902188019,-25.28247946,30.85172974,45.80953941,71.36435533,139.5917238,12.71929825,10.10801715,-23.12543848
24,ASM.AS,ASM International NV,Netherlands,Information Technology,4558,EUR,12/31/2024,33,33,1,0.03030303,,,,,,,,33,,,1989546913,2772774074,3029707950,3372885646,39.36711197,9.266311252,11.32708834,568958035.3,447513524.1,864948841.6,788653267.7,-21.34507357,93.27881617,-8.820819247,560537103.5,727308815.4,751858557.2,922524461.2,29.75212718,3.375422005,22.69920351,952422104.2,1314411762,1462560127,1703706768,38.0072718,11.27107724,16.48798135,6.64749872,11.62737233,9.12018423,17.45830979,74.91349483,-21.56280911,91.42496851,4.976364382,21.13178087,34.14028236,-30.92485222,186.7213286,78.84700084,117.6382376,-39.4925129,97.16172187,18.94893083,-6.505874987
25,ASML.AS,ASML Holding NV,Netherlands,Information Technology,43129,EUR,12/31/2024,72,144,2,0.027777778,49,95,,,,,,,,,21404255826,24351236919,31694652849,32504773627,13.7682016,30.15623377,2.556017199,6766187624,6468315277,9015526378,8707993306,-4.402366052,39.3798229,-3.411149378,7517423985,7476365904,10399425203,10376768503,-0.546172214,39.09732799,-0.217864926,11281196357,12306038244,16257734715,16667050423,9.084514218,32.11184942,2.51766753,16.49223731,18.48188658,23.68027658,22.1276601,12.0641562,28.1269446,-6.556580852,-5.698473073,33.51464537,38.28866424,-4.9184514,96.96341648,51.71755799,76.80346813,-28.06723957,33.69104156,-0.801067539,-0.408972559
26,G.MI,Assicurazioni Generali SpA,Italy,Financials,86851,EUR,12/31/2024,72,216,3,0.041666667,,56,,,69,,,,91,,1.0675E+11,36797010646,61795286109,68633699151,-65.52973242,67.93561494,11.06623737,3274295650,2570442844,4309373305,4282921320,-21.49631192,67.65100672,-0.613824404,4092869563,3213053555,5386716631,5353651650,-21.49631193,67.65100671,-0.613824399,9045241734,7100848357,11904643755,11831570147,-21.49631192,67.6510067,-0.613824399,2.058654448,1.62162166,2.794039169,2.783208807,-21.22905029,72.29907801,-0.387623843,2.191884823,-10.9750811,13.81964113,1.666934282,33.62900475,-19.61455801,41.74944627,-5.024721806,21.76485591,50.20402791,13.83143136
27,4503.T,Astellas Pharma Inc,Japan,Health Care,13643,JPY,3/31/2025,90,180,2,0.022222222,95,85,,,,,,,,,8864228996,10385566147,10967228537,13078038014,17.16265624,5.600680615,19.24651675,848602158.2,675087547.7,116567733.6,347049737.5,-20.44710926,-82.73294568,197.7236726,895632742.1,899695002.9,129575174.4,275248937.5,0.453563231,-85.59787773,112.4241305,7133945294,8413571094,8966975468,10689880081,17.93714063,6.577520625,19.21388788,0.458543065,0.369911922,0.064763651,0.193128354,-19.32885911,-82.49214282,198.2048588,5.345103638,-3.518428751,-10.67420733,-0.388881591,38.71937413,-11.76833758,19.26103349,8.160024081,-15.27638191,-6.707202393,-9.263942653
28,AZN.L,AstraZeneca PLC,United Kingdom,Health Care,94300,USD,12/31/2024,72.14285714,505,7,0.097029703,,,34,50,56,82,91,97,95,,37417000000,44351000000,45811000000,54073000000,18.53168346,3.291921264,18.03496977,112000000,3288000000,5955000000,7035000000,2835.714286,81.11313869,18.13602015,-139000000,4512000000,8722000000,10251000000,-3346.043165,93.30673759,17.53038294,24980000000,31960000000,37543000000,43866000000,27.94235388,17.46871089,16.84202115,0.08,2.11,3.81,4.5,2537.5,80.56872038,18.11023622,1.44785635,-2.750240968,15.58773289,14.24673554,30.72498175,-2.527266243,16.8398885,30.0788618,-6.324600662,-2.085739006,0.148909
29,ATEA.OL,Atea ASA,Norway,Information Technology,7894,NOK,12/31/2024,50.25,201,4,0.07960199,,,,,,,51,49,41,60,2820639765,3207337982,3435733473,3423754343,13.70959248,7.121029723,-0.348662959,75240820.65,83952915.67,79200863.84,76725836.84,11.57894736,-5.660377358,-3.125000006,103852132.7,118900296.8,123157343.3,119890307.6,14.48999044,3.580349767,-2.652733172,836163120,891207720.3,1014662067,1029314227,6.582997861,13.85247725,1.44404334,0.526685745,0.660337202,0.747458152,0.70686771,25.37593969,13.19340327,-5.430463484,5.874282188,17.54890779,54.35099527,0.359767018,23.43657933,-1.947322381,41.98951153,-27.16025813,18.82805809,14.07474312,11.12347717
30,ATCO-A.ST,Atlas Copco AB,Sweden,Energy,55248,SEK,12/31/2024,34,34,1,0.029411765,34,,,,,,,,,,11432282237,14567109845,17797385136,18220715192,27.42083814,22.17512825,2.378608165,1868754300,2419897667,2890230038,3069787125,29.49255378,19.43604382,6.212553487,2370215396,3153793454,3966747959,3902222852,33.05936074,25.77703698,-1.626650033,4795988353,6121020704,7742703628,7807331810,27.62793096,26.49366833,0.834697867,0.382409181,0.495791957,0.592682693,0.628759031,29.64959568,19.54261957,6.08695655,-1.845707565,39.5658711,30.69120158,-17.32634411,82.57833218,14.46413606,49.74338073,-20.28048026,41.16214121,-1.35934485,-11.43174663
31,ANZ.AX,Australia & New Zealand Banking Group Ltd,Australia,Financials,43094,AUD,9/30/2024,67,67,1,0.014925373,67,,,,,,,,,,11505434172,12251317924,13015252451,13122267752,6.48288227,6.235529367,0.822229929,3972459538,4589409193,4581028477,4212921629,15.53067184,-0.18260991,-8.035462994,4965574423,5736761491,5726285596,5266152036,15.53067183,-0.18260991,-8.035462994,10973919475,12678242895,12655091167,11638196000,15.53067182,-0.18260991,-8.035462989,0.760711174,1.309970428,1.503371574,1.465980686,72.20338977,14.76377954,-2.487135492,-7.23246915,9.149610046,-5.615765564,-14.98428143,1.472990286,-5.605552487,22.23199536,-11.4262751,18.02163089,17.46968498,2.128124811
32,ADSK,Autodesk Inc,USA,Information Technology,15300,USD,1/31/2025,32.11111111,289,9,0.280276817,,100,8,48,5,43,3,5,11,66,4386000000,5005000000,5497000000,6131000000,14.1130871,9.83016983,11.53356376,497000000,823000000,906000000,1112000000,65.59356137,10.08505468,22.73730684,618000000,989000000,1128000000,1369000000,60.03236246,14.05460061,21.36524823,3968000000,4525000000,4986000000,5553000000,14.03729839,10.1878453,11.37184116,2.24,3.78,4.19,5.12,68.75,10.84656085,22.19570406,3.646351276,23.3294521,40.5039552,20.78033774,46.18390936,62.5373176,-7.36575416,-33.43426502,27.73056446,23.56410444,1.07473122
33,AV.L,Aviva PLC,United Kingdom,Financials,29091,GBP,12/31/2024,79,79,1,0.012658228,79,,,,,,,,,,44319935694,-35997687416,44231258202,42672684097,-181.2223367,-222.8724993,-3.523693805,2641514387,-1412121882,1457804227,917677683.8,-153.4587996,-203.2350143,-37.05069125,3301892984,-1765152353,1822255284,1147097105,-153.4587996,-203.2350143,-37.05069125,7297183495,-3900986700,4027184178,2535084602,-153.4587996,-203.2350143,-37.05069125,0.659850563,-0.466228633,0.499818592,0.313058419,-170.6567,-207.2046109,-37.36559143,6.245516211,-4.063104318,3.790975056,-25.66127169,13.65970516,-22.38525605,24.01446662,7.271584855,-2.435251416,7.258374854,31.84601518
34,CS.PA,AXA SA,France,Financials,100041,EUR,12/31/2024,85,85,1,0.011764706,,,85,,,,,,,,1.28455E+11,79418058233,97275447960,1.03304E+11,-38.17441265,22.48530136,6.197403524,8388729353,5820586682,8267970293,9069580433,-30.61420345,42.04702627,9.695367927,10485911691,7275733353,10334962866,11336975541,-30.61420344,42.04702625,9.695367927,23173864837,16079370710,22840267934,25054715946,-30.61420344,42.04702625,9.695367928,3.415756263,2.438182921,3.599770068,3.800723494,-28.61952864,47.64150946,5.582396159,36.0683911,1.871316782,8.072075443,-20.04950465,42.83502421,-19.44569024,41.17560262,5.302663831,19.39737139,22.10859903,27.98526238
