Year,Ranking,Stock_Performance_Year,Stock_Performance,Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Average Rank,Years Appeared,Original Currency,ReportDate_2024,TotalRevenueIncr,NetIncomeIncr,OperatingIncomeIncr,GrossProfitIncr,DilutedEPSIncr,TotalRevenue,NetIncome,OperatingIncome,GrossProfit,DilutedEPS
2023,0,2022,-48.4293851925525,AQN.TO,Algonquin Power & Utilities Corp,Canada,Utilities,3786.0,10.0,1,USD,2024-12-31,21.58488783901797,-180.03843554495035,31.669627455523802,21.691202626284507,-180.4878048780488,2765013000.0,-211989000.0,511418000.0,1898659000.0,-0.33
2024,0,2023,-0.594951263663033,AQN.TO,Algonquin Power & Utilities Corp,Canada,Utilities,3786.0,10.0,1,USD,2024-12-31,-13.059215273128915,-113.52617352787173,-5.668748460163702,-12.547750807280297,-109.09090909090908,2403924000.0,28674000.0,482427000.0,1660420000.0,0.03
2025,0,2024,-19.7982849024648,AQN.TO,Algonquin Power & Utilities Corp,Canada,Utilities,3786.0,10.0,1,USD,2024-12-31,-3.5103439210224616,-4914.525353979215,-6.81035680009618,3.901964563182809,-6433.333333333333,2319538000.0,-1380517000.0,449572000.0,1725209000.0,-1.9
2016,0,2015,24.6562874252023,ALV.DE,Allianz SE,Germany,Financials,156626.0,71.0,3,EUR,2024-12-31,,,,,,,,,,
2017,0,2016,3.05512642300183,ALV.DE,Allianz SE,Germany,Financials,156626.0,71.0,3,EUR,2024-12-31,,,,,,,,,,
2019,0,2018,-5.49278827729795,ALV.DE,Allianz SE,Germany,Financials,156626.0,71.0,3,EUR,2024-12-31,,,,,,,,,,
2020,0,2019,30.0444497449466,ALV.DE,Allianz SE,Germany,Financials,156626.0,71.0,3,EUR,2024-12-31,,,,,,,,,,
2023,0,2022,1.70701455266672,ALV.DE,Allianz SE,Germany,Financials,156626.0,71.0,3,EUR,2024-12-31,-47.90813358633498,-2.8593040766703193,-2.859304079225957,-2.8593040809388226,-2.2109917917350943,71239794670.0,7384704028.0,9230880035.0,20400244877.0,17.80333567
2024,0,2023,26.6067528162564,ALV.DE,Allianz SE,Germany,Financials,156626.0,71.0,3,EUR,2024-12-31,66.30171458072789,33.016664063384724,33.01666406067642,33.01666406266443,36.82170544616823,118473000000.0,9822886949.0,12278608686.0,27135725196.0,24.35882749
2025,0,2024,28.317974674917,ALV.DE,Allianz SE,Germany,Financials,156626.0,71.0,3,EUR,2024-12-31,16.03150084829455,16.274440928618695,16.274440933022174,16.2744409338689,18.88574124468255,137466000000.0,11421506883.0,14276883604.0,31551912765.0,28.95917262
