Company Name,Country,GICS Sector,Ticker
Texas Instruments,USA,Information Technology,TXN
Adobe,USA,Information Technology,ADBE
ServiceNow,USA,Information Technology,NOW
PayPal,USA,Information Technology,PYPL
ASML,Netherlands,Information Technology,ASML
SAP,Germany,Information Technology,SAP
Infosys,India,Information Technology,INFY
Wipro,India,Information Technology,WIT
HP Inc,USA,Information Technology,HPQ
Dell Technologies,USA,Information Technology,DELL
FIS,USA,Information Technology,FIS
FISERV,USA,Information Technology,FI
Accenture,Ireland,Information Technology,ACN
EPAM Systems,USA,Information Technology,EPAM
Synopsys,USA,Information Technology,SNPS
Cadence Design,USA,Information Technology,CDNS
Micron,USA,Information Technology,MU
Seagate,USA,Information Technology,STX
Western Digital,USA,Information Technology,WDC
Palantir,USA,Information Technology,PLTR
GlobalFoundries,USA,Information Technology,GFS
Dow Inc.,USA,Materials,DOW
DuPont,USA,Materials,DD
Newmont,USA,Materials,NEM
Freeport-McMoRan,USA,Materials,FCX
Sherwin-Williams,USA,Materials,SHW
Ecolab,USA,Materials,ECL
International Paper,USA,Materials,IP
Albemarle,USA,Materials,ALB
CF Industries,USA,Materials,CF
Celanese,USA,Materials,CE
Eastman Chemical,USA,Materials,EMN
PPG Industries,USA,Materials,PPG
Air Products,USA,Materials,APD
Linde,Ireland,Materials,LIN
Nucor,USA,Materials,NUE
Steel Dynamics,USA,Materials,STLD
Vulcan Materials,USA,Materials,VMC
Martin Marietta,USA,Materials,MLM
Mosaic,USA,Materials,MOS
FMC Corp,USA,Materials,FMC
BASF,Germany,Materials,BASFY
Glencore,UK,Materials,GLEN.L
Anglo American,UK,Materials,AAL.L
Rio Tinto,UK,Materials,RIO.L
Vale,Brazil,Materials,VALE
ArcelorMittal,Luxembourg,Materials,MT
Olin Corp,USA,Materials,OLN
Simon Property Group,USA,Real Estate,SPG
Prologis,USA,Real Estate,PLD
Equity Residential,USA,Real Estate,EQR
AvalonBay Communities,USA,Real Estate,AVB
Public Storage,USA,Real Estate,PSA
Welltower,USA,Real Estate,WELL
Digital Realty,USA,Real Estate,DLR
Realty Income,USA,Real Estate,O
Vornado Realty Trust,USA,Real Estate,VNO
SL Green Realty,USA,Real Estate,SLG
Boston Properties,USA,Real Estate,BXP
UDR Inc.,USA,Real Estate,UDR
Crown Castle,USA,Real Estate,CCI
Iron Mountain,USA,Real Estate,IRM
Camden Property,USA,Real Estate,CPT
Alexandria Real Estate,USA,Real Estate,ARE
Healthpeak Properties,USA,Real Estate,DOC
Invitation Homes,USA,Real Estate,INVH
Mid-America Apartment,USA,Real Estate,MAA
Sun Communities,USA,Real Estate,SUI
Essex Property Trust,USA,Real Estate,ESS
Extra Space Storage,USA,Real Estate,EXR
Omega Healthcare,USA,Real Estate,OHI
Brixmor Property,USA,Real Estate,BRX
