Id,Ticker,Company Name,Country,GICS Sector,fullTimeEmployees,Original Currency,ESG Rank Year,ESG Rank,Average Rank,Years Appeared,Fin Metrics Year,Stock_Performance per,ReportDate,TotalRevenueIncr per,NetIncomeIncr per,OperatingIncomeIncr per,GrossProfitIncr per,DilutedEPSIncr per,TotalRevenue,NetIncome,OperatingIncome,GrossProfit,DilutedEPS,Net Margin per,Operating Margin per,Gross Margin per,ToralRevenue per employee,NetIncome per employee
127,BMO.TO,Bank of Montreal,Canada,Financials,53597,CAD,2025,82,70.28571429,7,2024,11.92,10/31/2024,2.98,65.38,65.38,65.38,65.1,23320692997,5326326624,6657908280,14713977299,6.922,22.84,28.55,63.09,4.35E+05,99377.33
128,BAS.DE,BASF SE,Germany,Information Technology,111408,EUR,2020,87,87,1,2019,16.44,12/31/2024,,,,,,,,,,,,,,,
129,BMW.DE,Bayerische Motoren Werke AG,Germany,Consumer Discretionary,159104,EUR,2016,1,33.25,4,2015,13.32,12/31/2024,,,,,,,,,,,,,,,
130,BMW.DE,Bayerische Motoren Werke AG,Germany,Consumer Discretionary,159104,EUR,2017,16,33.25,4,2016,-2.16,12/31/2024,,,,,,,,,,,,,,,
131,BMW.DE,Bayerische Motoren Werke AG,Germany,Consumer Discretionary,159104,EUR,2018,17,33.25,4,2017,2.26,12/31/2024,,,,,,,,,,,,,,,
132,BMW.DE,Bayerische Motoren Werke AG,Germany,Consumer Discretionary,159104,EUR,2019,99,33.25,4,2018,-14.87,12/31/2024,,,,,,,,,,,,,,,
133,BCE.TO,BCE Inc,Canada,Communication Services,40390,CAD,2023,42,42.33333333,3,2022,-4.96,12/31/2024,3.09,0.99,3.63,2.28,-0.33,17594782700,2087442574,3985646979,12033364043,2.169,11.86,22.65,68.39,4.36E+05,51682.16
134,BCE.TO,BCE Inc,Canada,Communication Services,40390,CAD,2024,51,42.33333333,3,2023,-6.7,12/31/2024,2.06,-21.09,0.42,1.29,-23.49,17957974417,1647099911,4002387278,12189121613,1.659,9.17,22.29,67.88,4.45E+05,40779.89
135,BCE.TO,BCE Inc,Canada,Communication Services,40390,CAD,2025,34,42.33333333,3,2024,-32.06,12/31/2024,-1.07,-84.8,0.89,-0.26,-92.11,17765824892,250376654.6,4038051395,12157824532,0.131,1.41,22.73,68.43,4.40E+05,6198.98
137,BEZ.L,Beazley PLC,United Kingdom,Financials,2419,USD,2024,37,63,3,2023,-23.22,12/31/2024,1204.29,112.46,112.46,112.46,-48.51,669100000,1026800000,1283500000,2836535000,0.259,153.46,191.82,423.93,2.77E+05,424472.92
138,BEZ.L,Beazley PLC,United Kingdom,Financials,2419,USD,2025,65,63,3,2024,56.17,12/31/2024,51.46,10.08,10.08,10.08,484.56,1013400000,1130300000,1412875000,3122453750,1.514,111.54,139.42,308.12,4.19E+05,467259.2
139,0371.HK,Beijing Enterprises Water Group Ltd,Hong Kong,Utilities,85870,CNY,2022,20,30.66666667,3,2021,1.96,12/31/2024,,,,,,3170438210,501196445.7,800580097.8,1188301950,0.047,15.81,25.25,37.48,3.69E+04,5836.69
140,0371.HK,Beijing Enterprises Water Group Ltd,Hong Kong,Utilities,85870,CNY,2023,32,30.66666667,3,2022,-29.62,12/31/2024,-5.72,-64.63,-35.82,-0.95,-66.39,2988987217,177250974.8,513812885.4,1177056489,0.016,5.93,17.19,39.38,3.48E+04,2064.18
141,0371.HK,Beijing Enterprises Water Group Ltd,Hong Kong,Utilities,85870,CNY,2024,40,30.66666667,3,2023,-4.62,12/31/2024,14.12,56.06,48.47,6.38,61.01,3411153886,276618949.8,762881890.7,1252191576,0.025,8.11,22.36,36.71,3.97E+04,3221.37
142,BG,BG Group PLC,United Kingdom,Consumer Staples,23000,USD,2016,36,36,1,2015,-22.98,12/31/2024,,,,,,,,,,,,,,,
143,BIIB,Biogen Inc,USA,Information Technology,7605,USD,2016,30,63.5,2,2015,-10.06,12/31/2024,,,,,,,,,,,,,,,
144,BIIB,Biogen Inc,USA,Information Technology,7605,USD,2022,97,63.5,2,2021,-2.34,12/31/2024,,,,,,10981700000,1556100000,2808000000,8872000000,10.4,14.17,25.57,80.79,1.44E+06,204615.38
145,BIM.PA,Biomerieux SA,France,Health Care,14147,EUR,2018,33,54.4,5,2017,57.91,12/31/2024,,,,,,,,,,,,,,,
146,BIM.PA,Biomerieux SA,France,Health Care,14147,EUR,2019,26,54.4,5,2018,-24.97,12/31/2024,,,,,,,,,,,,,,,
147,BIM.PA,Biomerieux SA,France,Health Care,14147,EUR,2020,38,54.4,5,2019,40.77,12/31/2024,,,,,,,,,,,,,,,
148,BIM.PA,Biomerieux SA,France,Health Care,14147,EUR,2024,97,54.4,5,2023,2.9,12/31/2024,2.39,-20.95,-9.08,2.42,-21.2,4226107058,411270855,654284086.8,2365957503,3.462,9.73,15.48,55.98,2.99E+05,29071.24
149,BIM.PA,Biomerieux SA,France,Health Care,14147,EUR,2025,78,54.4,5,2024,2.7,12/31/2024,8.31,20.86,12.13,7.69,20.93,4577228400,497067291.8,733640040.4,2547786144,4.186,10.86,16.03,55.66,3.24E+05,35135.88
150,BNP.PA,BNP Paribas SA,France,Financials,178000,EUR,2016,35,54.7,10,2015,8.69,12/31/2024,,,,,,,,,,,,,,,
151,BNP.PA,BNP Paribas SA,France,Financials,178000,EUR,2017,42,54.7,10,2016,22.81,12/31/2024,,,,,,,,,,,,,,,
152,BNP.PA,BNP Paribas SA,France,Financials,178000,EUR,2018,36,54.7,10,2017,7.94,12/31/2024,,,,,,,,,,,,,,,
153,BNP.PA,BNP Paribas SA,France,Financials,178000,EUR,2019,24,54.7,10,2018,-33.68,12/31/2024,,,,,,,,,,,,,,,
154,BNP.PA,BNP Paribas SA,France,Financials,178000,EUR,2020,31,54.7,10,2019,46.11,12/31/2024,,,,,,,,,,,,,,,
155,BNP.PA,BNP Paribas SA,France,Financials,178000,EUR,2021,46,54.7,10,2020,-18.6,12/31/2024,,,,,,,,,,,,,,,
156,BNP.PA,BNP Paribas SA,France,Financials,178000,EUR,2022,76,54.7,10,2021,45.09,12/31/2024,,,,,,64813112517,10912018660,13640023325,30144451548,8.35,16.84,21.05,46.51,3.64E+05,61303.48
157,BNP.PA,BNP Paribas SA,France,Financials,178000,EUR,2023,71,54.7,10,2022,-6.47,12/31/2024,1.99,3.79,3.79,3.79,3.58,66103509327,11326049722,14157562153,31288212358,8.649,17.13,21.42,47.33,3.71E+05,63629.49
158,BNP.PA,BNP Paribas SA,France,Financials,178000,EUR,2024,90,54.7,10,2023,24.19,12/31/2024,3.93,11.44,11.44,11.44,14.1,68700404156,12622196963,15777746204,34868819111,9.868,18.37,22.97,50.75,3.86E+05,70911.22
159,BNP.PA,BNP Paribas SA,France,Financials,178000,EUR,2025,96,54.7,10,2024,-0.39,12/31/2024,10.27,6.5,6.5,6.5,11.54,75756183506,13442208484,16802760605,37134100937,11.006,17.74,22.18,49.02,4.26E+05,75518.03
160,BWA,Borgwarner Inc,USA,Consumer Discretionary,38300,USD,2025,64,64,1,2024,-10.05,12/31/2024,-0.79,-45.92,3.17,3.12,-43.82,14086000000,338000000,1303000000,2648000000,1.5,2.4,9.25,18.8,3.68E+05,8825.07
161,BXB.AX,Brambles Ltd,Australia,Industrials,12743,USD,2021,18,7.4,5,2020,-5.2,6/30/2024,,,,,,,,,,,,,,,
162,BXB.AX,Brambles Ltd,Australia,Industrials,12743,USD,2022,10,7.4,5,2021,2.78,6/30/2024,,,,,,5209800000,526100000,692000000,2511700000,0.355,10.1,13.28,48.21,4.09E+05,41285.41
