Year-Month-Date,Ticker,Original Currency,TotalRevenue,CostOfRevenue,GrossProfit,OperatingExpense,OperatingIncome,NetIncome,DilutedEPS,InterestExpense,NormalizedEBITDA,EBITDA,EBIT,NormalizedIncome,TotalExpenses,DilutedAverageShares,BasicAverageShares,BasicEPS,fullTimeEmployees,sector,industry,marketCap,enterpriseValue,beta,dividendYield,trailingPE,forwardPE,priceToSalesTrailing12Months,priceToBook,totalDebt,debtToEquity,operatingMargins,profitMargins,country,ResearchAndDevelopment
2023-11-30,ADBE,USD,19409000000.0,2354000000.0,17055000000.0,10405000000.0,6650000000.0,5428000000.0,11.82,113000000.0,7792000000.0,7784000000.0,6912000000.0,5434400000.0,12759000000.0,459000000.0,457000000.0,11.87,30709,Technology,Software - Application,162007138304.0,162171764736.0,1.545,,24.366665,18.497324,7.16814,14.211156,6562999808.0,57.329,0.35909998,0.30392,United States,3473000000.0
2022-11-30,ADBE,USD,17606000000.0,2165000000.0,15441000000.0,9343000000.0,6098000000.0,4756000000.0,10.1,112000000.0,7016000000.0,6976000000.0,6120000000.0,4787600000.0,11508000000.0,471000000.0,470000000.0,10.13,30709,Technology,Software - Application,162007138304.0,162171764736.0,1.545,,24.366665,18.497324,7.16814,14.211156,6562999808.0,57.329,0.35909998,0.30392,United States,2987000000.0
2021-11-30,ADBE,USD,15785000000.0,1865000000.0,13920000000.0,8118000000.0,5802000000.0,4822000000.0,10.02,113000000.0,6607000000.0,6606000000.0,5818000000.0,4822850000.0,9983000000.0,481000000.0,477000000.0,10.1,30709,Technology,Software - Application,162007138304.0,162171764736.0,1.545,,24.366665,18.497324,7.16814,14.211156,6562999808.0,57.329,0.35909998,0.30392,United States,2540000000.0
2020-11-30,ADBE,USD,,,,,,,,,,,,,,,,,30709,Technology,Software - Application,162007138304.0,162171764736.0,1.545,,24.366665,18.497324,7.16814,14.211156,6562999808.0,57.329,0.35909998,0.30392,United States,
2024-12-31,2395.TW,TWD,2024389373.6240528,1199011446.0201337,825377927.603919,517450126.42385435,307927801.1800647,304914392.532941,0.35147122599184516,3194968.2534597814,413332057.95028806,411833293.8967161,374797165.8297442,306128234.40738976,1716461572.443988,867858000.0,861485000.0,0.3538414558395743,,Technology,Computer Hardware,9582998176.74524,8946013815.6745,0.696,2.88,29.162958,26.778416,4.4739556,5.9831557,76878367.72918606,4.78,0.16853,0.15406999,Taiwan,183387459.87377316
2023-12-31,2395.TW,TWD,2186289751.8362217,1300439574.4999387,885850177.336283,474094491.5368669,411755685.7994162,366963386.8808672,0.4239325384795666,1542477.864049375,488626167.5707363,487538198.21020216,450758562.873181,367848193.54789114,1774534066.0368056,865414000.0,856843000.0,0.4283343939110637,,Technology,Computer Hardware,9582998176.74524,8946013815.6745,0.696,2.88,29.162958,26.778416,4.4739556,5.9831557,76878367.72918606,4.78,0.16853,0.15406999,Taiwan,163538511.78078726
2022-12-31,2395.TW,TWD,2327724888.3345685,1443524086.2284675,884200802.106101,458139153.87517214,426061648.2309289,364239213.99601924,0.42190091289579873,913926.7688579857,493604869.2263179,491888077.88718116,456094898.35235846,365611149.1535202,1901663240.1036396,863489000.0,854049000.0,0.42664137259125706,,Technology,Computer Hardware,9582998176.74524,8946013815.6745,0.696,2.88,29.162958,26.778416,4.4739556,5.9831557,76878367.72918606,4.78,0.16853,0.15406999,Taiwan,161437878.64802405
2021-12-31,2395.TW,TWD,1984967609.2153416,1235583009.0369508,749384600.1783907,417407498.87132645,331977101.3070643,279356102.50359774,0.32355713065641745,530525.1607745886,385051897.5450918,384921297.88048196,347780778.11893076,279461895.0575264,1652990507.9082773,863009810.0,850224838.0,0.32848280688426273,,Technology,Computer Hardware,9582998176.74524,8946013815.6745,0.696,2.88,29.162958,26.778416,4.4739556,5.9831557,76878367.72918606,4.78,0.16853,0.15406999,Taiwan,144577553.3700399
2020-12-31,2395.TW,TWD,,,,,,,,,,,,,,,,,,Technology,Computer Hardware,9582998176.74524,8946013815.6745,0.696,2.88,29.162958,26.778416,4.4739556,5.9831557,76878367.72918606,4.78,0.16853,0.15406999,Taiwan,
2024-12-31,ADP.PA,EUR,7082231334.924698,3542265753.7460327,3539965581.178665,2105807985.4249954,1434157595.7536697,393329509.0198517,,328924677.1335602,2087406604.886055,2154111609.339714,1297297327.9953003,345822204.8479557,5648073739.171028,,,,29330,Industrials,Airports & Air Services,11641229156.432983,22958662321.305176,1.093,2.87,29.710144,15.117993,1.6437234,2.2926545,12320874283.49878,194.358,0.14858,0.05554,France,93156988.97838593
